"ID","Day","Hour","IDH","ISH"
"1","1","0","0","0"
"2","1","1","0","0"
"3","1","2","0","0"
"4","1","3","0","0"
"5","1","4","0","0"
"6","1","5","0","0"
"7","1","6","0","0"
"8","1","7","0","8.1"
"9","1","8","0","64"
"10","1","9","0","111.6"
"11","1","10","23.7","118.1"
"12","1","11","22.7","121.5"
"13","1","12","0","118.6"
"14","1","13","0","74.4"
"15","1","14","0","24.4"
"16","1","15","0","0"
"17","1","16","0","0"
"18","1","17","0","0"
"19","1","18","0","0"
"20","1","19","0","0"
"21","1","20","0","0"
"22","1","21","0","0"
"23","1","22","0","0"
"24","1","23","0","0"
"25","2","0","0","0"
"26","2","1","0","0"
"27","2","2","0","0"
"28","2","3","0","0"
"29","2","4","0","0"
"30","2","5","0","0"
"31","2","6","0","0"
"32","2","7","0","10.5"
"33","2","8","0","100"
"34","2","9","0","186.1"
"35","2","10","168.9","68.3"
"36","2","11","133.8","90.7"
"37","2","12","0","184.9"
"38","2","13","0","125.6"
"39","2","14","0","33.7"
"40","2","15","0","0"
"41","2","16","0","0"
"42","2","17","0","0"
"43","2","18","0","0"
"44","2","19","0","0"
"45","2","20","0","0"
"46","2","21","0","0"
"47","2","22","0","0"
"48","2","23","0","0"
"49","3","0","0","0"
"50","3","1","0","0"
"51","3","2","0","0"
"52","3","3","0","0"
"53","3","4","0","0"
"54","3","5","0","0"
"55","3","6","0","0"
"56","3","7","0","17.4"
"57","3","8","0","127.9"
"58","3","9","0","197.7"
"59","3","10","191.5","58.5"
"60","3","11","237.6","49.7"
"61","3","12","0","237.3"
"62","3","13","0","148.9"
"63","3","14","0","36.1"
"64","3","15","0","0"
"65","3","16","0","0"
"66","3","17","0","0"
"67","3","18","0","0"
"68","3","19","0","0"
"69","3","20","0","0"
"70","3","21","0","0"
"71","3","22","0","0"
"72","3","23","0","0"
"73","4","0","0","0"
"74","4","1","0","0"
"75","4","2","0","0"
"76","4","3","0","0"
"77","4","4","0","0"
"78","4","5","0","0"
"79","4","6","0","0"
"80","4","7","0","3.5"
"81","4","8","0","65.1"
"82","4","9","0","112.8"
"83","4","10","23.3","119.7"
"84","4","11","60.3","122.2"
"85","4","12","0","151.2"
"86","4","13","0","95.4"
"87","4","14","0","20.9"
"88","4","15","0","0"
"89","4","16","0","0"
"90","4","17","0","0"
"91","4","18","0","0"
"92","4","19","0","0"
"93","4","20","0","0"
"94","4","21","0","0"
"95","4","22","0","0"
"96","4","23","0","0"
"97","5","0","0","0"
"98","5","1","0","0"
"99","5","2","0","0"
"100","5","3","0","0"
"101","5","4","0","0"
"102","5","5","0","0"
"103","5","6","0","0"
"104","5","7","0","15.1"
"105","5","8","0","95.4"
"106","5","9","0","112.8"
"107","5","10","22.8","120.2"
"108","5","11","60.6","123.1"
"109","5","12","0","152.4"
"110","5","13","0","76.8"
"111","5","14","0","22.1"
"112","5","15","0","0"
"113","5","16","0","0"
"114","5","17","0","0"
"115","5","18","0","0"
"116","5","19","0","0"
"117","5","20","0","0"
"118","5","21","0","0"
"119","5","22","0","0"
"120","5","23","0","0"
"121","6","0","0","0"
"122","6","1","0","0"
"123","6","2","0","0"
"124","6","3","0","0"
"125","6","4","0","0"
"126","6","5","0","0"
"127","6","6","0","0"
"128","6","7","0","4.7"
"129","6","8","0","66.3"
"130","6","9","0","114"
"131","6","10","23.1","121.1"
"132","6","11","1","64.1"
"133","6","12","0","53.5"
"134","6","13","0","33.7"
"135","6","14","0","9.3"
"136","6","15","0","0"
"137","6","16","0","0"
"138","6","17","0","0"
"139","6","18","0","0"
"140","6","19","0","0"
"141","6","20","0","0"
"142","6","21","0","0"
"143","6","22","0","0"
"144","6","23","0","0"
"145","7","0","0","0"
"146","7","1","0","0"
"147","7","2","0","0"
"148","7","3","0","0"
"149","7","4","0","0"
"150","7","5","0","0"
"151","7","6","0","0"
"152","7","7","0","22.1"
"153","7","8","0","162.8"
"154","7","9","0","276.8"
"155","7","10","234.5","115.5"
"156","7","11","246.3","110.8"
"157","7","12","0","296.6"
"158","7","13","0","188.4"
"159","7","14","0","45.4"
"160","7","15","0","0"
"161","7","16","0","0"
"162","7","17","0","0"
"163","7","18","0","0"
"164","7","19","0","0"
"165","7","20","0","0"
"166","7","21","0","0"
"167","7","22","0","0"
"168","7","23","0","0"
"169","8","0","0","0"
"170","8","1","0","0"
"171","8","2","0","0"
"172","8","3","0","0"
"173","8","4","0","0"
"174","8","5","0","0"
"175","8","6","0","0"
"176","8","7","0","15.1"
"177","8","8","0","97.7"
"178","8","9","0","179.1"
"179","8","10","104.7","104.6"
"180","8","11","22","126.8"
"181","8","12","0","54.7"
"182","8","13","0","34.9"
"183","8","14","0","23.3"
"184","8","15","0","0"
"185","8","16","0","0"
"186","8","17","0","0"
"187","8","18","0","0"
"188","8","19","0","0"
"189","8","20","0","0"
"190","8","21","0","0"
"191","8","22","0","0"
"192","8","23","0","0"
"193","9","0","0","0"
"194","9","1","0","0"
"195","9","2","0","0"
"196","9","3","0","0"
"197","9","4","0","0"
"198","9","5","0","0"
"199","9","6","0","0"
"200","9","7","0","24.4"
"201","9","8","0","136.1"
"202","9","9","0","280.3"
"203","9","10","239","50.6"
"204","9","11","245.3","50.1"
"205","9","12","0","217.5"
"206","9","13","0","139.6"
"207","9","14","0","47.7"
"208","9","15","0","0"
"209","9","16","0","0"
"210","9","17","0","0"
"211","9","18","0","0"
"212","9","19","0","0"
"213","9","20","0","0"
"214","9","21","0","0"
"215","9","22","0","0"
"216","9","23","0","0"
"217","10","0","0","0"
"218","10","1","0","0"
"219","10","2","0","0"
"220","10","3","0","0"
"221","10","4","0","0"
"222","10","5","0","0"
"223","10","6","0","0"
"224","10","7","0","18.6"
"225","10","8","0","87.2"
"226","10","9","0","146.5"
"227","10","10","134.8","93.2"
"228","10","11","192.2","71.8"
"229","10","12","0","301.2"
"230","10","13","0","194.2"
"231","10","14","0","60.5"
"232","10","15","0","0"
"233","10","16","0","0"
"234","10","17","0","0"
"235","10","18","0","0"
"236","10","19","0","0"
"237","10","20","0","0"
"238","10","21","0","0"
"239","10","22","0","0"
"240","10","23","0","0"
"241","11","0","0","0"
"242","11","1","0","0"
"243","11","2","0","0"
"244","11","3","0","0"
"245","11","4","0","0"
"246","11","5","0","0"
"247","11","6","0","0"
"248","11","7","0","33.7"
"249","11","8","0","169.8"
"250","11","9","0","283.8"
"251","11","10","244.1","112.9"
"252","11","11","257.1","106.9"
"253","11","12","225","78.5"
"254","11","13","0","160.5"
"255","11","14","0","45.4"
"256","11","15","0","0"
"257","11","16","0","0"
"258","11","17","0","0"
"259","11","18","0","0"
"260","11","19","0","0"
"261","11","20","0","0"
"262","11","21","0","0"
"263","11","22","0","0"
"264","11","23","0","0"
"265","12","0","0","0"
"266","12","1","0","0"
"267","12","2","0","0"
"268","12","3","0","0"
"269","12","4","0","0"
"270","12","5","0","0"
"271","12","6","0","0"
"272","12","7","0","7"
"273","12","8","0","31.4"
"274","12","9","0","52.3"
"275","12","10","1","64.1"
"276","12","11","1","65.3"
"277","12","12","0.8","55"
"278","12","13","0","36.1"
"279","12","14","0","11.6"
"280","12","15","0","0"
"281","12","16","0","0"
"282","12","17","0","0"
"283","12","18","0","0"
"284","12","19","0","0"
"285","12","20","0","0"
"286","12","21","0","0"
"287","12","22","0","0"
"288","12","23","0","0"
"289","13","0","0","0"
"290","13","1","0","0"
"291","13","2","0","0"
"292","13","3","0","0"
"293","13","4","0","0"
"294","13","5","0","0"
"295","13","6","0","0"
"296","13","7","0","7"
"297","13","8","0","31.4"
"298","13","9","0","52.3"
"299","13","10","22.6","127.4"
"300","13","11","57.1","133.6"
"301","13","12","65.4","117.2"
"302","13","13","0","118.6"
"303","13","14","0","43"
"304","13","15","0","0"
"305","13","16","0","0"
"306","13","17","0","0"
"307","13","18","0","0"
"308","13","19","0","0"
"309","13","20","0","0"
"310","13","21","0","0"
"311","13","22","0","0"
"312","13","23","0","0"
"313","14","0","0","0"
"314","14","1","0","0"
"315","14","2","0","0"
"316","14","3","0","0"
"317","14","4","0","0"
"318","14","5","0","0"
"319","14","6","0","0"
"320","14","7","0","24.4"
"321","14","8","0","104.7"
"322","14","9","0","151.2"
"323","14","10","60.2","128.2"
"324","14","11","20.7","132.8"
"325","14","12","12.5","115.4"
"326","14","13","0","83.7"
"327","14","14","0","29.1"
"328","14","15","0","0"
"329","14","16","0","0"
"330","14","17","0","0"
"331","14","18","0","0"
"332","14","19","0","0"
"333","14","20","0","0"
"334","14","21","0","0"
"335","14","22","0","0"
"336","14","23","0","0"
"337","15","0","0","0"
"338","15","1","0","0"
"339","15","2","0","0"
"340","15","3","0","0"
"341","15","4","0","0"
"342","15","5","0","0"
"343","15","6","0","0"
"344","15","7","0","25.6"
"345","15","8","0","93"
"346","15","9","0","152.4"
"347","15","10","59.9","129.7"
"348","15","11","56.4","136.7"
"349","15","12","36.2","125.5"
"350","15","13","0","84.9"
"351","15","14","0","29.1"
"352","15","15","0","0"
"353","15","16","0","0"
"354","15","17","0","0"
"355","15","18","0","0"
"356","15","19","0","0"
"357","15","20","0","0"
"358","15","21","0","0"
"359","15","22","0","0"
"360","15","23","0","0"
"361","16","0","0","0"
"362","16","1","0","0"
"363","16","2","0","0"
"364","16","3","0","0"
"365","16","4","0","0"
"366","16","5","0","0"
"367","16","6","0","0"
"368","16","7","0","32.6"
"369","16","8","0","147.7"
"370","16","9","0","295.4"
"371","16","10","194.1","73.4"
"372","16","11","128.2","112.5"
"373","16","12","35.8","127"
"374","16","13","0","132.6"
"375","16","14","0","51.2"
"376","16","15","0","0"
"377","16","16","0","0"
"378","16","17","0","0"
"379","16","18","0","0"
"380","16","19","0","0"
"381","16","20","0","0"
"382","16","21","0","0"
"383","16","22","0","0"
"384","16","23","0","0"
"385","17","0","0","0"
"386","17","1","0","0"
"387","17","2","0","0"
"388","17","3","0","0"
"389","17","4","0","0"
"390","17","5","0","0"
"391","17","6","0","0"
"392","17","7","0","8.1"
"393","17","8","0","75.6"
"394","17","9","0","123.3"
"395","17","10","21.7","131.8"
"396","17","11","20.5","136.5"
"397","17","12","12.4","119"
"398","17","13","0","86.1"
"399","17","14","0","31.4"
"400","17","15","0","0"
"401","17","16","0","0"
"402","17","17","0","0"
"403","17","18","0","0"
"404","17","19","0","0"
"405","17","20","0","0"
"406","17","21","0","0"
"407","17","22","0","0"
"408","17","23","0","0"
"409","18","0","0","0"
"410","18","1","0","0"
"411","18","2","0","0"
"412","18","3","0","0"
"413","18","4","0","0"
"414","18","5","0","0"
"415","18","6","0","0"
"416","18","7","0","9.3"
"417","18","8","0","33.7"
"418","18","9","0","54.7"
"419","18","10","1","66.4"
"420","18","11","1","68.7"
"421","18","12","0.8","57.4"
"422","18","13","0","38.4"
"423","18","14","0","14"
"424","18","15","0","0"
"425","18","16","0","0"
"426","18","17","0","0"
"427","18","18","0","0"
"428","18","19","0","0"
"429","18","20","0","0"
"430","18","21","0","0"
"431","18","22","0","0"
"432","18","23","0","0"
"433","19","0","0","0"
"434","19","1","0","0"
"435","19","2","0","0"
"436","19","3","0","0"
"437","19","4","0","0"
"438","19","5","0","0"
"439","19","6","0","0"
"440","19","7","0","9.3"
"441","19","8","0","34.9"
"442","19","9","0","54.7"
"443","19","10","1","67.6"
"444","19","11","1","68.7"
"445","19","12","0.8","57.4"
"446","19","13","0","39.5"
"447","19","14","0","15.1"
"448","19","15","0","0"
"449","19","16","0","0"
"450","19","17","0","0"
"451","19","18","0","0"
"452","19","19","0","0"
"453","19","20","0","0"
"454","19","21","0","0"
"455","19","22","0","0"
"456","19","23","0","0"
"457","20","0","0","0"
"458","20","1","0","0"
"459","20","2","0","0"
"460","20","3","0","0"
"461","20","4","0","0"
"462","20","5","0","0"
"463","20","6","0","0"
"464","20","7","0","38.4"
"465","20","8","0","132.6"
"466","20","9","0","222.1"
"467","20","10","195.8","79.9"
"468","20","11","162","104.3"
"469","20","12","112.4","112"
"470","20","13","0","158.2"
"471","20","14","0","61.6"
"472","20","15","0","0"
"473","20","16","0","0"
"474","20","17","0","0"
"475","20","18","0","0"
"476","20","19","0","0"
"477","20","20","0","0"
"478","20","21","0","0"
"479","20","22","0","0"
"480","20","23","0","0"
"481","21","0","0","0"
"482","21","1","0","0"
"483","21","2","0","0"
"484","21","3","0","0"
"485","21","4","0","0"
"486","21","5","0","0"
"487","21","6","0","0"
"488","21","7","0","24.4"
"489","21","8","0","80.2"
"490","21","9","0","55.8"
"491","21","10","1.1","68.7"
"492","21","11","1","69.9"
"493","21","12","0.8","58.5"
"494","21","13","0","39.5"
"495","21","14","0","16.3"
"496","21","15","0","0"
"497","21","16","0","0"
"498","21","17","0","0"
"499","21","18","0","0"
"500","21","19","0","0"
"501","21","20","0","0"
"502","21","21","0","0"
"503","21","22","0","0"
"504","21","23","0","0"
"505","22","0","0","0"
"506","22","1","0","0"
"507","22","2","0","0"
"508","22","3","0","0"
"509","22","4","0","0"
"510","22","5","0","0"
"511","22","6","0","0"
"512","22","7","0","11.6"
"513","22","8","0","36.1"
"514","22","9","0","57"
"515","22","10","1","68.7"
"516","22","11","1","69.9"
"517","22","12","0.8","59.7"
"518","22","13","0","40.7"
"519","22","14","0","16.3"
"520","22","15","0","0"
"521","22","16","0","0"
"522","22","17","0","0"
"523","22","18","0","0"
"524","22","19","0","0"
"525","22","20","0","0"
"526","22","21","0","0"
"527","22","22","0","0"
"528","22","23","0","0"
"529","23","0","0","0"
"530","23","1","0","0"
"531","23","2","0","0"
"532","23","3","0","0"
"533","23","4","0","0"
"534","23","5","0","0"
"535","23","6","0","0"
"536","23","7","0","11.6"
"537","23","8","0","36.1"
"538","23","9","0.8","56.2"
"539","23","10","1.1","69.9"
"540","23","11","1.1","71.1"
"541","23","12","0.8","59.7"
"542","23","13","0","40.7"
"543","23","14","0","17.4"
"544","23","15","0","0"
"545","23","16","0","0"
"546","23","17","0","0"
"547","23","18","0","0"
"548","23","19","0","0"
"549","23","20","0","0"
"550","23","21","0","0"
"551","23","22","0","0"
"552","23","23","0","0"
"553","24","0","0","0"
"554","24","1","0","0"
"555","24","2","0","0"
"556","24","3","0","0"
"557","24","4","0","0"
"558","24","5","0","0"
"559","24","6","0","0"
"560","24","7","0","11.6"
"561","24","8","0","37.2"
"562","24","9","0.9","57.3"
"563","24","10","1.1","69.9"
"564","24","11","1","71.1"
"565","24","12","0.8","60.8"
"566","24","13","0","41.9"
"567","24","14","0","17.4"
"568","24","15","0","0"
"569","24","16","0","0"
"570","24","17","0","0"
"571","24","18","0","0"
"572","24","19","0","0"
"573","24","20","0","0"
"574","24","21","0","0"
"575","24","22","0","0"
"576","24","23","0","0"
"577","25","0","0","0"
"578","25","1","0","0"
"579","25","2","0","0"
"580","25","3","0","0"
"581","25","4","0","0"
"582","25","5","0","0"
"583","25","6","0","0"
"584","25","7","0","12.8"
"585","25","8","0","37.2"
"586","25","9","0.8","57.3"
"587","25","10","20.4","142.4"
"588","25","11","53.8","154.4"
"589","25","12","62.2","140.1"
"590","25","13","0","138.4"
"591","25","14","0","51.2"
"592","25","15","0","0"
"593","25","16","0","0"
"594","25","17","0","0"
"595","25","18","0","0"
"596","25","19","0","0"
"597","25","20","0","0"
"598","25","21","0","0"
"599","25","22","0","0"
"600","25","23","0","0"
"601","26","0","0","0"
"602","26","1","0","0"
"603","26","2","0","0"
"604","26","3","0","0"
"605","26","4","0","0"
"606","26","5","0","0"
"607","26","6","0","0"
"608","26","7","0","14"
"609","26","8","0","38.4"
"610","26","9","0.9","58.4"
"611","26","10","1.1","71"
"612","26","11","1.1","72.2"
"613","26","12","0.8","62"
"614","26","13","0","43"
"615","26","14","0","18.6"
"616","26","15","0","0"
"617","26","16","0","0"
"618","26","17","0","0"
"619","26","18","0","0"
"620","26","19","0","0"
"621","26","20","0","0"
"622","26","21","0","0"
"623","26","22","0","0"
"624","26","23","0","0"
"625","27","0","0","0"
"626","27","1","0","0"
"627","27","2","0","0"
"628","27","3","0","0"
"629","27","4","0","0"
"630","27","5","0","0"
"631","27","6","0","0"
"632","27","7","0","31.4"
"633","27","8","0","110.5"
"634","27","9","78","117.3"
"635","27","10","99.6","138.8"
"636","27","11","53.3","158.3"
"637","27","12","33.3","145.8"
"638","27","13","0","123.3"
"639","27","14","0","44.2"
"640","27","15","0","0"
"641","27","16","0","0"
"642","27","17","0","0"
"643","27","18","0","0"
"644","27","19","0","0"
"645","27","20","0","0"
"646","27","21","0","0"
"647","27","22","0","0"
"648","27","23","0","0"
"649","28","0","0","0"
"650","28","1","0","0"
"651","28","2","0","0"
"652","28","3","0","0"
"653","28","4","0","0"
"654","28","5","0","0"
"655","28","6","0","0"
"656","28","7","0","15.1"
"657","28","8","0","39.5"
"658","28","9","0.9","59.6"
"659","28","10","1.1","72.2"
"660","28","11","1.1","73.4"
"661","28","12","0.8","63.1"
"662","28","13","0","44.2"
"663","28","14","0","19.8"
"664","28","15","0","0"
"665","28","16","0","0"
"666","28","17","0","0"
"667","28","18","0","0"
"668","28","19","0","0"
"669","28","20","0","0"
"670","28","21","0","0"
"671","28","22","0","0"
"672","28","23","0","0"
"673","29","0","0","0"
"674","29","1","0","0"
"675","29","2","0","0"
"676","29","3","0","0"
"677","29","4","0","0"
"678","29","5","0","0"
"679","29","6","0","0"
"680","29","7","0","68.6"
"681","29","8","0","160.5"
"682","29","9","155.9","87.2"
"683","29","10","168.2","113.3"
"684","29","11","124.7","141.6"
"685","29","12","61.8","148.7"
"686","29","13","26.9","119.6"
"687","29","14","0","58.2"
"688","29","15","0","0"
"689","29","16","0","0"
"690","29","17","0","0"
"691","29","18","0","0"
"692","29","19","0","0"
"693","29","20","0","0"
"694","29","21","0","0"
"695","29","22","0","0"
"696","29","23","0","0"
"697","30","0","0","0"
"698","30","1","0","0"
"699","30","2","0","0"
"700","30","3","0","0"
"701","30","4","0","0"
"702","30","5","0","0"
"703","30","6","0","0"
"704","30","7","0","16.3"
"705","30","8","0","40.7"
"706","30","9","0.9","60.8"
"707","30","10","55.9","156.9"
"708","30","11","122.6","144.9"
"709","30","12","133.5","125.8"
"710","30","13","51.5","120.6"
"711","30","14","0","80.2"
"712","30","15","0","0"
"713","30","16","0","0"
"714","30","17","0","0"
"715","30","18","0","0"
"716","30","19","0","0"
"717","30","20","0","0"
"718","30","21","0","0"
"719","30","22","0","0"
"720","30","23","0","0"
"721","31","0","0","0"
"722","31","1","0","0"
"723","31","2","0","0"
"724","31","3","0","0"
"725","31","4","0","0"
"726","31","5","0","0"
"727","31","6","0","0"
"728","31","7","0","90.7"
"729","31","8","0","226.8"
"730","31","9","259.3","82.6"
"731","31","10","196.9","104.3"
"732","31","11","93","158.2"
"733","31","12","11","137.9"
"734","31","13","4.5","100.2"
"735","31","14","0","61.6"
"736","31","15","0","0"
"737","31","16","0","0"
"738","31","17","0","0"
"739","31","18","0","0"
"740","31","19","0","0"
"741","31","20","0","0"
"742","31","21","0","0"
"743","31","22","0","0"
"744","31","23","0","0"
"745","1","0","0","0"
"746","1","1","0","0"
"747","1","2","0","0"
"748","1","3","0","0"
"749","1","4","0","0"
"750","1","5","0","0"
"751","1","6","0","0"
"752","1","7","0","16.3"
"753","1","8","0","41.9"
"754","1","9","0.9","61.9"
"755","1","10","1.1","74.5"
"756","1","11","1.1","75.7"
"757","1","12","0.9","65.4"
"758","1","13","4.4","101.5"
"759","1","14","0","50"
"760","1","15","0","0"
"761","1","16","0","0"
"762","1","17","0","0"
"763","1","18","0","0"
"764","1","19","0","0"
"765","1","20","0","0"
"766","1","21","0","0"
"767","1","22","0","0"
"768","1","23","0","0"
"769","2","0","0","0"
"770","2","1","0","0"
"771","2","2","0","0"
"772","2","3","0","0"
"773","2","4","0","0"
"774","2","5","0","0"
"775","2","6","0","0"
"776","2","7","0","17.4"
"777","2","8","0","41.9"
"778","2","9","0.9","61.9"
"779","2","10","1.1","75.7"
"780","2","11","1.1","76.8"
"781","2","12","0.8","65.4"
"782","2","13","0.5","46"
"783","2","14","0","23.3"
"784","2","15","0","0"
"785","2","16","0","0"
"786","2","17","0","0"
"787","2","18","0","0"
"788","2","19","0","0"
"789","2","20","0","0"
"790","2","21","0","0"
"791","2","22","0","0"
"792","2","23","0","0"
"793","3","0","0","0"
"794","3","1","0","0"
"795","3","2","0","0"
"796","3","3","0","0"
"797","3","4","0","0"
"798","3","5","0","0"
"799","3","6","0","0"
"800","3","7","0","18.6"
"801","3","8","0","97.7"
"802","3","9","14.3","131"
"803","3","10","18.7","156.9"
"804","3","11","16.9","161"
"805","3","12","10.3","142"
"806","3","13","4.3","103.9"
"807","3","14","0","53.5"
"808","3","15","0","0"
"809","3","16","0","0"
"810","3","17","0","0"
"811","3","18","0","0"
"812","3","19","0","0"
"813","3","20","0","0"
"814","3","21","0","0"
"815","3","22","0","0"
"816","3","23","0","0"
"817","4","0","0","0"
"818","4","1","0","0"
"819","4","2","0","0"
"820","4","3","0","0"
"821","4","4","0","0"
"822","4","5","0","0"
"823","4","6","0","0"
"824","4","7","0","53.5"
"825","4","8","0","143"
"826","4","9","74.7","136.9"
"827","4","10","52.4","168.6"
"828","4","11","17.1","163.1"
"829","4","12","0.9","66.6"
"830","4","13","0.5","48.3"
"831","4","14","0","24.4"
"832","4","15","0","0"
"833","4","16","0","0"
"834","4","17","0","0"
"835","4","18","0","0"
"836","4","19","0","0"
"837","4","20","0","0"
"838","4","21","0","0"
"839","4","22","0","0"
"840","4","23","0","0"
"841","5","0","0","0"
"842","5","1","0","0"
"843","5","2","0","0"
"844","5","3","0","0"
"845","5","4","0","0"
"846","5","5","0","0"
"847","5","6","0","0"
"848","5","7","0","19.8"
"849","5","8","0","101.2"
"850","5","9","14.3","134.5"
"851","5","10","18","159.9"
"852","5","11","48.7","178.1"
"853","5","12","31.5","163.9"
"854","5","13","13.4","126.2"
"855","5","14","0","70.9"
"856","5","15","0","0"
"857","5","16","0","0"
"858","5","17","0","0"
"859","5","18","0","0"
"860","5","19","0","0"
"861","5","20","0","0"
"862","5","21","0","0"
"863","5","22","0","0"
"864","5","23","0","0"
"865","6","0","0","0"
"866","6","1","0","0"
"867","6","2","0","0"
"868","6","3","0","0"
"869","6","4","0","0"
"870","6","5","0","0"
"871","6","6","0","0"
"872","6","7","0","19.8"
"873","6","8","0","102.3"
"874","6","9","14","136"
"875","6","10","18.3","162"
"876","6","11","16.5","166.1"
"877","6","12","10.6","147.6"
"878","6","13","4.3","108.5"
"879","6","14","0","58.2"
"880","6","15","0","0"
"881","6","16","0","0"
"882","6","17","0","0"
"883","6","18","0","0"
"884","6","19","0","0"
"885","6","20","0","0"
"886","6","21","0","0"
"887","6","22","0","0"
"888","6","23","0","0"
"889","7","0","0","0"
"890","7","1","0","0"
"891","7","2","0","0"
"892","7","3","0","0"
"893","7","4","0","0"
"894","7","5","0","0"
"895","7","6","0","0"
"896","7","7","0","20.9"
"897","7","8","0","104.7"
"898","7","9","13.7","137.5"
"899","7","10","17.9","163.5"
"900","7","11","48.9","182.6"
"901","7","12","31.9","168.2"
"902","7","13","13.9","130.3"
"903","7","14","0","60.5"
"904","7","15","0","0"
"905","7","16","0","0"
"906","7","17","0","0"
"907","7","18","0","0"
"908","7","19","0","0"
"909","7","20","0","0"
"910","7","21","0","0"
"911","7","22","0","0"
"912","7","23","0","0"
"913","8","0","0","0"
"914","8","1","0","0"
"915","8","2","0","0"
"916","8","3","0","0"
"917","8","4","0","0"
"918","8","5","0","0"
"919","8","6","0","0"
"920","8","7","0","22.1"
"921","8","8","0","46.5"
"922","8","9","0.9","66.5"
"923","8","10","1.1","79.1"
"924","8","11","1.1","81.4"
"925","8","12","0.9","70.1"
"926","8","13","0.6","50.6"
"927","8","14","0","26.7"
"928","8","15","0","0"
"929","8","16","0","0"
"930","8","17","0","0"
"931","8","18","0","0"
"932","8","19","0","0"
"933","8","20","0","0"
"934","8","21","0","0"
"935","8","22","0","0"
"936","8","23","0","0"
"937","9","0","0","0"
"938","9","1","0","0"
"939","9","2","0","0"
"940","9","3","0","0"
"941","9","4","0","0"
"942","9","5","0","0"
"943","9","6","0","0"
"944","9","7","0","64"
"945","9","8","0","134.9"
"946","9","9","40.5","153.7"
"947","9","10","52.6","180"
"948","9","11","88.6","182.3"
"949","9","12","60","174.9"
"950","9","13","27.9","143"
"951","9","14","0","91.9"
"952","9","15","0","4.7"
"953","9","16","0","0"
"954","9","17","0","0"
"955","9","18","0","0"
"956","9","19","0","0"
"957","9","20","0","0"
"958","9","21","0","0"
"959","9","22","0","0"
"960","9","23","0","0"
"961","10","0","0","0"
"962","10","1","0","0"
"963","10","2","0","0"
"964","10","3","0","0"
"965","10","4","0","0"
"966","10","5","0","0"
"967","10","6","0","0"
"968","10","7","0","53.5"
"969","10","8","0","109.3"
"970","10","9","0.9","67.7"
"971","10","10","1.1","81.4"
"972","10","11","16.3","173.2"
"973","10","12","10.6","154.5"
"974","10","13","4.5","115.2"
"975","10","14","0","29.1"
"976","10","15","0","2.3"
"977","10","16","0","0"
"978","10","17","0","0"
"979","10","18","0","0"
"980","10","19","0","0"
"981","10","20","0","0"
"982","10","21","0","0"
"983","10","22","0","0"
"984","10","23","0","0"
"985","11","0","0","0"
"986","11","1","0","0"
"987","11","2","0","0"
"988","11","3","0","0"
"989","11","4","0","0"
"990","11","5","0","0"
"991","11","6","0","0"
"992","11","7","0","54.7"
"993","11","8","0","48.8"
"994","11","9","0.9","68.8"
"995","11","10","1.1","81.4"
"996","11","11","1.2","83.7"
"997","11","12","0.9","72.4"
"998","11","13","4.7","117.4"
"999","11","14","0","83.7"
"1000","11","15","0","9.3"
"1001","11","16","0","0"
"1002","11","17","0","0"
"1003","11","18","0","0"
"1004","11","19","0","0"
"1005","11","20","0","0"
"1006","11","21","0","0"
"1007","11","22","0","0"
"1008","11","23","0","0"
"1009","12","0","0","0"
"1010","12","1","0","0"
"1011","12","2","0","0"
"1012","12","3","0","0"
"1013","12","4","0","0"
"1014","12","5","0","0"
"1015","12","6","0","0"
"1016","12","7","0","81.4"
"1017","12","8","0","141.9"
"1018","12","9","40.6","160.6"
"1019","12","10","51.4","187"
"1020","12","11","16.7","177.5"
"1021","12","12","10.6","158"
"1022","12","13","4.6","118.6"
"1023","12","14","0","68.6"
"1024","12","15","0","8.1"
"1025","12","16","0","0"
"1026","12","17","0","0"
"1027","12","18","0","0"
"1028","12","19","0","0"
"1029","12","20","0","0"
"1030","12","21","0","0"
"1031","12","22","0","0"
"1032","12","23","0","0"
"1033","13","0","0","0"
"1034","13","1","0","0"
"1035","13","2","0","0"
"1036","13","3","0","0"
"1037","13","4","0","0"
"1038","13","5","0","0"
"1039","13","6","0","0"
"1040","13","7","0","25.6"
"1041","13","8","8.4","106.7"
"1042","13","9","13.9","148.9"
"1043","13","10","17.4","174.5"
"1044","13","11","49","196.4"
"1045","13","12","31.8","181"
"1046","13","13","29.4","152"
"1047","13","14","0","118.6"
"1048","13","15","0","17.4"
"1049","13","16","0","0"
"1050","13","17","0","0"
"1051","13","18","0","0"
"1052","13","19","0","0"
"1053","13","20","0","0"
"1054","13","21","0","0"
"1055","13","22","0","0"
"1056","13","23","0","0"
"1057","14","0","0","0"
"1058","14","1","0","0"
"1059","14","2","0","0"
"1060","14","3","0","0"
"1061","14","4","0","0"
"1062","14","5","0","0"
"1063","14","6","0","0"
"1064","14","7","0","26.7"
"1065","14","8","0.7","50.5"
"1066","14","9","1","71.1"
"1067","14","10","1.2","83.7"
"1068","14","11","1.2","86.1"
"1069","14","12","0.9","74.7"
"1070","14","13","0.6","55.2"
"1071","14","14","0","31.4"
"1072","14","15","0","5.8"
"1073","14","16","0","0"
"1074","14","17","0","0"
"1075","14","18","0","0"
"1076","14","19","0","0"
"1077","14","20","0","0"
"1078","14","21","0","0"
